mls,address,bld_sft,lot_sft,price,zip
43226036,"2104 Webster Street, Houston, TX 77003",3014.0,1450.0,480900.0,77003
84924817,"1510 Ennis Street Street, Houston, TX 77003",2033.0,2000.0,480000.0,77003
64413625,"1815 Ennis Street, Houston, TX 77003",2016.0,1411.0,480000.0,77003
35549560,"902 Hutchins Street, Houston, TX 77003",2106.0,2100.0,470000.0,77003
64529292,"2412I Canal Street, Houston, TX 77003",1880.0,0,470000.0,77003
34648569,"240 N York Street, Houston, TX 77003",2472.0,4700.0,470000.0,77003
81370546,"2414E Canal Street, Houston, TX 77003",2063.0,0,470000.0,77003
52952940,"2414D Canal Street, Houston, TX 77003",2063.0,0,470000.0,77003
64766386,"3002 Markle Drive, Houston, TX 77003",2073.0,1788.0,465000.0,77003
61579967,"3020 Markle Drive, Houston, TX 77003",2073.0,1400.0,465000.0,77003
63028390,"2412K Canal Street, Houston, TX 77003",1880.0,0,460000.0,77003
3786957,"2843 Rusk Street, Houston, TX 77003",2455.0,1822.0,459500.0,77003
70535147,"312 N Everton Street, Houston, TX 77003",1124.0,4700.0,450000.0,77003
92245398,"1207 Sampson Street, Houston, TX 77003",2264.0,2500.0,450000.0,77003
74832512,"2835 Rusk Street, Houston, TX 77003",2455.0,1536.0,449900.0,77003
86311445,"2814 Decker Place, Houston, TX 77003",2116.0,0,449900.0,77003
58715882,"643 Live Oak Street, Houston, TX 77003",2594.0,1898.0,449900.0,77003
28287948,"2366 Sperber Lane, Houston, TX 77003",2266.0,1513.0,449900.0,77003
62326445,"3012 Markle Drive, Houston, TX 77003",2073.0,1400.0,435000.0,77003
59599511,"3014 Markle Drive, Houston, TX 77003",2073.0,1400.0,435000.0,77003
61621927,"3006 Markle Drive, Houston, TX 77003",2073.0,1400.0,435000.0,77003
84950647,"3008 Markle Drive, Houston, TX 77003",2073.0,1400.0,435000.0,77003
36156777,"3016 Markle Drive, Houston, TX 77003",2073.0,1400.0,435000.0,77003
80156874,"3018 Markle Drive, Houston, TX 77003",2073.0,1400.0,435000.0,77003
51587835,"3010 Markle Drive, Houston, TX 77003",2073.0,1400.0,435000.0,77003
26562210,"464 N Live Oak Street, Houston, TX 77003",2329.0,1984.0,430000.0,77003
73067293,"2811 Decker Place, Houston, TX 77003",1870.0,0,429900.0,77003
60754863,"3513 Garrow Street, Houston, TX 77003",1980.0,2310.0,429888.0,77003
42585176,"1109 Saint Charles Street, Houston, TX 77003",1978.0,1745.0,426230.0,77003
50877242,"2760 Clay Street, Houston, TX 77003",2532.0,1949.0,425000.0,77003
47341879,"1619 Saint Charles Street, Houston, TX 77003",2037.0,2563.0,424990.0,77003
27463521,"3004 Markle Drive, Houston, TX 77003",2073.0,1788.0,420000.0,77003
30880110,"2851 Rusk Street, Houston, TX 77003",2314.0,1800.0,420000.0,77003
62585216,"2505 Pease Street, Houston, TX 77003",2037.0,0,419990.0,77003
61566615,"3509 Garrow Street, Houston, TX 77003",1980.0,1841.0,419888.0,77003
83811141,"3511 Garrow Street, Houston, TX 77003",1980.0,1841.0,419888.0,77003
51769720,"2108 St Charles Street, Houston, TX 77003",1862.0,0,419000.0,77003
7859135,"2807 Rusk Street, Houston, TX 77003",2314.0,1536.0,416000.0,77003
15841584,"1613 Saint Charles Street, Houston, TX 77003",2037.0,0,414990.0,77003
50524640,"202 N Everton Street, Houston, TX 77003",1917.0,4253.0,414900.0,77003
52026606,"2413 Pease Street, Houston, TX 77003",2162.0,1950.0,410000.0,77003
88363627,"2608 Capitol Street, Houston, TX 77003",2233.0,1556.0,410000.0,77003
11392345,"1617 Saint Charles Street, Houston, TX 77003",2037.0,0,409990.0,77003
13115466,"1615 Saint Charles Street, Houston, TX 77003",2037.0,0,409990.0,77003
67027861,"2601 Bell Street, Houston, TX 77003",2118.0,2000.0,404900.0,77003
61036099,"2352 Commerce Street, Houston, TX 77003",2086.0,1740.0,400000.0,77003
39482736,"307 N Ennis Street, Houston, TX 77003",708.0,7280.0,400000.0,77003
7067542,"2323 Polk Street #304, Houston, TX 77003",1877.0,32499.0,399900.0,77003
87927123,"2611 Rusk Street, Houston, TX 77003",2084.0,1482.0,399000.0,77003
44209703,"3111 Leeland Street, Houston, TX 77003",1966.0,2422.0,395000.0,77003
21462965,"2118 St Charles Street, Houston, TX 77003",1655.0,0,394000.0,77003
28076225,"211 Milby Street, Houston, TX 77003",1955.0,1432.0,390000.0,77003
66239553,"2706 Leeland Street, Houston, TX 77003",2409.0,1474.0,390000.0,77003
45663096,"1612 Bastrop Street, Houston, TX 77003",1958.0,1770.0,385000.0,77003
19299983,"1610 Bastrop Street, Houston, TX 77003",2008.0,1770.0,385000.0,77003
49311080,"3001 Bell Street, Houston, TX 77003",2334.0,7035.0,385000.0,77003
41566176,"2711 Capitol Street, Houston, TX 77003",2288.0,1120.0,385000.0,77003
97963880,"3121 Leeland Street, Houston, TX 77003",1966.0,1831.0,380000.0,77003
35966147,"2604 Polk Street, Houston, TX 77003",1889.0,1445.0,379500.0,77003
86708397,"2415 Webster Street, Houston, TX 77003",1528.0,0,379000.0,77003
57528775,"2307 Webster Street, Houston, TX 77003",2091.0,2000.0,379000.0,77003
45271499,"2505 Garrow Street, Houston, TX 77003",2065.0,1512.0,379000.0,77003
51059212,"3508 Garrow Street, Houston, TX 77003",1504.0,3025.0,375000.0,77003
23998135,"1609 Milby Street A, Houston, TX 77003",2076.0,1443.0,374900.0,77003
32152830,"2425 Polk Street, Houston, TX 77003",1910.0,1443.0,374900.0,77003
32116209,"3119 Leeland Street, Houston, TX 77003",1966.0,1828.0,369900.0,77003
15770460,"2323 Polk Unit 309 Street #309, Houston, TX 77003",1881.0,32499.0,369900.0,77003
41681140,"1211 Nagle Street, Houston, TX 77003",2316.0,1400.0,365000.0,77003
3076258,"2553 Rusk Street, Houston, TX 77003",2084.0,1744.0,365000.0,77003
4306448,"3223 Garrow Street, Houston, TX 77003",2304.0,1625.0,359000.0,77003
47334894,"505 Bastrop Street #302, Houston, TX 77003",1349.0,0,350000.0,77003
39325602,"2330 Sperber Lane, Houston, TX 77003",2006.0,1400.0,350000.0,77003
83036768,"407 N Nagle Street D, Houston, TX 77003",1835.0,1685.0,350000.0,77003
97028623,"1306 Paige Street, Houston, TX 77003",1960.0,1440.0,350000.0,77003
52821273,"2933 Bell Street, Houston, TX 77003",1907.0,1598.0,350000.0,77003
8774995,"2838 Leeland Street, Houston, TX 77003",1804.0,1506.0,349900.0,77003
13024279,"2416 Commerce Street, Houston, TX 77003",1460.0,0,349900.0,77003
85777381,"1207 Roberts Street, Houston, TX 77003",1737.0,1498.0,349500.0,77003
3620773,"2908 Commerce Street, Houston, TX 77003",1956.0,1668.0,345000.0,77003
83847060,"2924 Leeland Street, Houston, TX 77003",1787.0,1640.0,345000.0,77003
82872050,"1223 Roberts Street, Houston, TX 77003",1737.0,1498.0,345000.0,77003
6167530,"2820 Leeland Street, Houston, TX 77003",1759.0,1446.0,340000.0,77003
76001386,"2912 Commerce Street, Houston, TX 77003",1840.0,2841.0,339900.0,77003
8692556,"2826 Polk Street, Houston, TX 77003",2020.0,1440.0,339000.0,77003
73627725,"2720 Clay Street, Houston, TX 77003",2124.0,1730.0,339000.0,77003
35558781,"211 N Hutcheson Street, Houston, TX 77003",1307.0,2750.0,335000.0,77003
10016597,"2929 Pease Street, Houston, TX 77003",1752.0,1640.0,335000.0,77003
53723479,"505 Bastrop Street #403, Houston, TX 77003",1298.0,0,325500.0,77003
39956852,"16 N Hutcheson Street, Houston, TX 77003",1460.0,1521.0,325000.0,77003
84637381,"20 N Hutcheson Street #20, Houston, TX 77003",1448.0,1521.0,325000.0,77003
54871338,"2905 Sherman Street C, Houston, TX 77003",1845.0,1765.0,319500.0,77003
93868278,"1513 Paige Street, Houston, TX 77003",1979.0,1598.0,315000.0,77003
85772275,"1606 Saint Charles Street, Houston, TX 77003",2042.0,1750.0,315000.0,77003
36688998,"923 Mckinney Park Lane, Houston, TX 77003",1595.0,2061.0,315000.0,77003
69448395,"2203 Ann Street, Houston, TX 77003",2197.0,1747.0,310000.0,77003
39174821,"1708 Aden Mist Drive, Houston, TX 77003",1516.0,2369.0,310000.0,77003
49214068,"2903 Sherman Street B, Houston, TX 77003",1777.0,1588.0,309900.0,77003
64238571,"1772 Aden Dr Drive, Houston, TX 77003",1688.0,1831.0,300900.0,77003
24249103,"1752 ADEN Drive, Houston, TX 77003",1688.0,2220.0,299900.0,77003
98916328,"64 N Hutcheson Street, Houston, TX 77003",1586.0,1521.0,299900.0,77003
67795603,"1403 Delano Street #5, Houston, TX 77003",1598.0,0,299000.0,77003
35827558,"2405 Roufa Road, Houston, TX 77003",1365.0,1657.0,299000.0,77003
49592109,"1754 Aden Drive, Houston, TX 77003",1688.0,1860.0,298500.0,77003
91737245,"207 N Everton Street, Houston, TX 77003",1056.0,6615.0,296000.0,77003
27565438,"2915 Clay Street, Houston, TX 77003",1878.0,1622.0,289900.0,77003
57118813,"1758 Aden Mist Drive, Houston, TX 77003",1449.0,1825.0,285000.0,77003
34677577,"1774 Aden Drive, Houston, TX 77003",1410.0,1834.0,279900.0,77003
15153342,"1749 Aden Drive, Houston, TX 77003",1610.0,2240.0,279000.0,77003
68623220,"307 Hutcheson Street, Houston, TX 77003",1075.0,5350.0,275500.0,77003
78352294,"3119 Dallas Street, Houston, TX 77003",1355.0,2034.0,275000.0,77003
23881101,"4019 Garrow Street, Houston, TX 77003",1614.0,5000.0,275000.0,77003
9533551,"106 Velasco Street, Houston, TX 77003",2132.0,4572.0,270000.0,77003
46020757,"3817 Wilmer Street, Houston, TX 77003",1128.0,4800.0,269000.0,77003
38705970,"2422 Navigation Boulevard E, Houston, TX 77003",1624.0,16720.0,264900.0,77003
25354726,"2216 Chenevert Street #4, Houston, TX 77003",1730.0,15245.0,260000.0,77003
15245467,"2612 Pierce Street, Houston, TX 77003",0.0,0,259860.0,77003
54406611,"426 Middle Street, Houston, TX 77003",924.0,4368.0,250000.0,77003
